Cohort_Month,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2023-05,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04,,100.0,236.79999999999998,,,,,,,,,,,,,,,,,,,,,,,
2025-05,42.71844660194174,100.0,,,,,,,,,,,,,,,,,,,,,,,,
